ORF,Name,Allele,Strain_ID,Plate,Row,Column
YMR229C,RRP5,rrp5-delta6,tsa1051,3,16,13
YML126C,ERG13,erg13-5001,tsa1104,3,16,14
YDL209C,CWC2,cwc2-1,tsa1052,3,16,15
BLANK,BLANK,,,3,16,16
YHR058C,MED6,med6-ts,tsa1053,3,16,17
BLANK,BLANK,,,3,16,18
YGL234W,"ADE5,7","ade5,7",tsa1054,3,16,19
YIR011C,STS1,sts1-5001,tsa1105,3,16,20
YNL163C,RIA1,ria1-ts,tsa1055,3,16,21
YMR061W,RNA14,rna14-5001,tsa1106,3,16,22
YLR186W,EMG1,emg1-1,tsa1056,3,16,23
YBR049C,REB1,reb1-5001,tsa1107,3,16,24
YBL074C,AAR2,aar2-5001,tsa1108,4,1,1
YDR196C,CAB5,cab5-5001,tsa1204,4,1,2
YBR142W,MAK5,mak5-5001,tsa1109,4,1,3
YGR277C,CAB4,cab4-5001,tsa1205,4,1,4
YBR154C,RPB5,rpb5-5001,tsa1110,4,1,5
YKL088W,CAB3,cab3-5012,tsa1206,4,1,6
YDR064W,RPS13,rps13-5001,tsa1111,4,1,7
YJL097W,PHS1,phs1-5001,tsa1207,4,1,8
YDR086C,SSS1,sss1-5001,tsa1112,4,1,9
YHR122W,CIA2,cia2-5001,tsa1208,4,1,10
YDL015C,TSC13,tsc13-5001,tsa1113,4,1,11
YMR134W,ERG29,erg29-5001,tsa1209,4,1,12
YER168C,CCA1,cca1-5001,tsa1114,4,1,13
YML125C,PGA3,pga3-5001,tsa1210,4,1,14
YER009W,NTF2,ntf2-5001,tsa1115,4,1,15
YNL247W,,ynl247w-5001,tsa1211,4,1,16
YDL045C,FAD1,fad1-5001,tsa1116,4,1,17
YIL083C,CAB2,cab2-5001,tsa1212,4,1,18
YHR019C,DED81,ded81-5001,tsa1117,4,1,19
YNL181W,PBR1,pbr1-5014,tsa1213,4,1,20
YDR341C,,ydr341c-5001,tsa1118,4,1,21
YLR440C,SEC39,sec39-5001,tsa1214,4,1,22
YGL113W,SLD3,sld3-5001,tsa1119,4,1,23
YOR262W,GPN2,gpn2-5001,tsa1215,4,1,24
BLANK,BLANK,,,4,2,1
BLANK,BLANK,,,4,2,2
BLANK,BLANK,,,4,2,3
BLANK,BLANK,,,4,2,4
BLANK,BLANK,,,4,2,5
BLANK,BLANK,,,4,2,6
BLANK,BLANK,,,4,2,7
BLANK,BLANK,,,4,2,8
BLANK,BLANK,,,4,2,9
BLANK,BLANK,,,4,2,10
BLANK,BLANK,,,4,2,11
BLANK,BLANK,,,4,2,12
BLANK,BLANK,,,4,2,13
BLANK,BLANK,,,4,2,14
BLANK,BLANK,,,4,2,15
BLANK,BLANK,,,4,2,16
BLANK,BLANK,,,4,2,17
BLANK,BLANK,,,4,2,18
BLANK,BLANK,,,4,2,19
BLANK,BLANK,,,4,2,20
BLANK,BLANK,,,4,2,21
BLANK,BLANK,,,4,2,22
BLANK,BLANK,,,4,2,23
BLANK,BLANK,,,4,2,24
YGL091C,NBP35,nbp35-5001,tsa1120,4,3,1
YDR527W,RBA50,rba50-5001,tsa1216,4,3,2
YGR013W,SNU71,snu71-5001,tsa1121,4,3,3
YHR085W,IPI1,ipi1-5001,tsa1217,4,3,4
YDR201W,SPC19,spc19-5001,tsa1122,4,3,5
YDR299W,BFR2,bfr2-5001,tsa1218,4,3,6
YGL247W,BRR6,brr6-5001,tsa1123,4,3,7
YDR288W,NSE3,nse3-5001,tsa1219,4,3,8
YKL144C,RPC25,rpc25-5001,tsa1124,4,3,9
YDR246W,TRS23,trs23-5001,tsa1220,4,3,10
YGR172C,YIP1,yip1-5001,tsa1125,4,3,11
YHR020W,,yhr020w-5001,tsa1221,4,3,12
YGR195W,SKI6,ski6-5001,tsa1126,4,3,13
YKL095W,YJU2,yju2-5001,tsa1222,4,3,14
YDR091C,RLI1,rli1-5001,tsa1127,4,3,15
YDL193W,NUS1,nus1-5001,tsa1223,4,3,16
YHR190W,ERG9,erg9-5001,tsa1128,4,3,17
YJR072C,NPA3,npa3-5001,tsa1224,4,3,18
YHR101C,BIG1,big1-5001,tsa1129,4,3,19
YDR531W,CAB1,cab1-5001,tsa1225,4,3,20
YJL025W,RRN7,rrn7-5001,tsa1130,4,3,21
YDL105W,NSE4,nse4-5001,tsa1226,4,3,22
YML077W,BET5,bet5-5001,tsa1131,4,3,23
YLR060W,FRS1,frs1-5001,tsa1227,4,3,24
BLANK,BLANK,,,4,4,1
BLANK,BLANK,,,4,4,2
BLANK,BLANK,,,4,4,3
BLANK,BLANK,,,4,4,4
BLANK,BLANK,,,4,4,5
BLANK,BLANK,,,4,4,6
BLANK,BLANK,,,4,4,7
BLANK,BLANK,,,4,4,8
BLANK,BLANK,,,4,4,9
BLANK,BLANK,,,4,4,10
BLANK,BLANK,,,4,4,11
BLANK,BLANK,,,4,4,12
BLANK,BLANK,,,4,4,13
BLANK,BLANK,,,4,4,14
BLANK,BLANK,,,4,4,15
BLANK,BLANK,,,4,4,16
BLANK,BLANK,,,4,4,17
BLANK,BLANK,,,4,4,18
BLANK,BLANK,,,4,4,19
BLANK,BLANK,,,4,4,20
BLANK,BLANK,,,4,4,21
BLANK,BLANK,,,4,4,22
BLANK,BLANK,,,4,4,23
BLANK,BLANK,,,4,4,24
YLR005W,SSL1,ssl1-5001,tsa1132,4,5,1
YJL072C,PSF2,psf2-5001,tsa1228,4,5,2
YGL142C,GPI10,gpi10-5001,tsa1133,4,5,3
